# Renewables.ninja Weather (Point API) - 51.454, -2.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "51.4538022", "lon": "-2.5972985", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "true", "var_snomas": "true", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2021-01-01 00:00,2021-01-01 00:00,-0.829,0.015,0.014,0.314,1.273,0,0,0.616
2021-01-01 01:00,2021-01-01 01:00,-0.872,0.015,0.015,0.319,1.276,0,0,0.694
2021-01-01 02:00,2021-01-01 02:00,-0.942,0.017,0.016,0.324,1.279,0,0,0.722
2021-01-01 03:00,2021-01-01 03:00,-1.103,0.015,0.015,0.328,1.280,0,0,0.750
2021-01-01 04:00,2021-01-01 04:00,-1.082,0.012,0.012,0.332,1.280,0,0,0.834
2021-01-01 05:00,2021-01-01 05:00,-1.013,0.009,0.008,0.335,1.279,0,0,0.857
2021-01-01 06:00,2021-01-01 06:00,-0.954,0.007,0.007,0.339,1.279,0,0,0.864
2021-01-01 07:00,2021-01-01 07:00,-0.842,0.008,0.006,0.342,1.277,0,0,0.835
2021-01-01 08:00,2021-01-01 08:00,-0.379,0.013,0.004,0.344,1.275,8.040,39.473,0.821
2021-01-01 09:00,2021-01-01 09:00,0.789,0.020,0.003,0.346,1.272,41.018,185.140,0.787
2021-01-01 10:00,2021-01-01 10:00,1.686,0.026,0.003,0.345,1.270,69.554,298.431,0.780
2021-01-01 11:00,2021-01-01 11:00,2.306,0.031,0,0.339,1.267,88.150,362.071,0.770
2021-01-01 12:00,2021-01-01 12:00,2.677,0.030,0,0.331,1.265,92.425,371.587,0.823
