# Renewables.ninja Weather (Point API) - 51.454, -2.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "51.4538022", "lon": "-2.5972985", "date_from": "2024-01-01", "date_to": "2024-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "true", "var_snomas": "true", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2024-01-01 00:00,2024-01-01 00:00,7.411,0.031,0,0,1.221,0,0,0.809
2024-01-01 01:00,2024-01-01 01:00,7.327,0.034,0,0,1.223,0,0,0.865
2024-01-01 02:00,2024-01-01 02:00,7.198,0.021,0,0,1.225,0,0,0.938
2024-01-01 03:00,2024-01-01 03:00,6.838,0.012,0,0,1.227,0,0,0.953
2024-01-01 04:00,2024-01-01 04:00,6.510,0.005,0,0,1.229,0,0,0.954
2024-01-01 05:00,2024-01-01 05:00,6.329,0.001,0,0,1.230,0,0,0.977
2024-01-01 06:00,2024-01-01 06:00,6.085,0,0,0,1.231,0,0,0.989
2024-01-01 07:00,2024-01-01 07:00,5.733,0,0,0,1.232,0,0,0.960
2024-01-01 08:00,2024-01-01 08:00,5.674,0,0,0,1.233,8.002,38.664,0.883
2024-01-01 09:00,2024-01-01 09:00,6.408,0.002,0,0,1.232,40.829,183.952,0.947
2024-01-01 10:00,2024-01-01 10:00,7.064,0.011,0,0,1.231,67.955,297.183,0.991
2024-01-01 11:00,2024-01-01 11:00,7.515,0.056,0,0,1.229,71.299,360.850,0.993
2024-01-01 12:00,2024-01-01 12:00,7.656,0.258,0,0,1.227,54.381,370.452,0.991
2024-01-01 13:00,2024-01-01 13:00,7.720,0.597,0,0,1.225,37.686,325.381,0.995
2024-01-01 14:00,2024-01-01 14:00,7.852,1.007,0,0,1.222,20.735,228.725,0.994
2024-01-01 15:00,2024-01-01 15:00,8.131,1.005,0,0,1.219,3.255,87.085,0.995
2024-01-01 16:00,2024-01-01 16:00,8.655,1.108,0,0,1.213,0,0.103,0.995
2024-01-01 17:00,2024-01-01 17:00,9.532,2.191,0,0,1.206,0,0,0.993
2024-01-01 18:00,2024-01-01 18:00,10.195,2.357,0,0,1.201,0,0,0.991
2024-01-01 19:00,2024-01-01 19:00,10.290,1.686,0,0,1.199,0,0,0.991
2024-01-01 20:00,2024-01-01 20:00,10.348,1.483,0,0,1.198,0,0,0.992
2024-01-01 21:00,2024-01-01 21:00,10.600,1.009,0,0,1.196,0,0,0.991
2024-01-01 22:00,2024-01-01 22:00,10.768,0.240,0,0,1.195,0,0,0.968
2024-01-01 23:00,2024-01-01 23:00,10.796,0.041,0,0,1.195,0,0,0.964
2024-01-02 00:00,2024-01-02 00:00,10.794,0.030,0,0,1.195,0,0,0.960
2024-01-02 01:00,2024-01-02 01:00,10.678,0.019,0,0,1.196,0,0,0.962
2024-01-02 02:00,2024-01-02 02:00,10.413,0.013,0,0,1.197,0,0,0.963
2024-01-02 03:00,2024-01-02 03:00,10.139,0.025,0,0,1.198,0,0,0.986
2024-01-02 04:00,2024-01-02 04:00,9.986,0.066,0,0,1.199,0,0,0.995
2024-01-02 05:00,2024-01-02 05:00,9.865,0.108,0,0,1.199,0,0,0.995
2024-01-02 06:00,2024-01-02 06:00,9.730,0.188,0,0,1.197,0,0,0.992
2024-01-02 07:00,2024-01-02 07:00,9.675,0.667,0,0,1.195,0,0,0.982
2024-01-02 08:00,2024-01-02 08:00,9.913,1.487,0,0,1.193,2.972,39.786,0.964
2024-01-02 09:00,2024-01-02 09:00,10.602,1.376,0,0,1.188,19.853,185.702,0.961
2024-01-02 10:00,2024-01-02 10:00,11.312,0.962,0,0,1.183,33.724,299.058,0.884
2024-01-02 11:00,2024-01-02 11:00,11.877,0.465,0,0,1.179,61.433,362.725,0.735
2024-01-02 12:00,2024-01-02 12:00,12.218,0.284,0,0,1.176,69.353,372.327,0.668
2024-01-02 13:00,2024-01-02 13:00,11.993,0.236,0,0,1.176,88.744,327.256,0.662
2024-01-02 14:00,2024-01-02 14:00,11.477,0.277,0,0,1.179,57.390,230.539,0.532
2024-01-02 15:00,2024-01-02 15:00,10.438,0.194,0,0,1.186,22.185,88.811,0.536
2024-01-02 16:00,2024-01-02 16:00,9.515,0.084,0,0,1.193,0.015,0.156,0.593
2024-01-02 17:00,2024-01-02 17:00,9.287,0.082,0,0,1.196,0,0,0.568
2024-01-02 18:00,2024-01-02 18:00,9.130,0.040,0,0,1.198,0,0,0.323
2024-01-02 19:00,2024-01-02 19:00,9.029,0.013,0,0,1.199,0,0,0.114
2024-01-02 20:00,2024-01-02 20:00,8.894,0.018,0,0,1.200,0,0,0.129
2024-01-02 21:00,2024-01-02 21:00,8.781,0.053,0,0,1.201,0,0,0.349
2024-01-02 22:00,2024-01-02 22:00,8.815,0.129,0,0,1.201,0,0,0.539
2024-01-02 23:00,2024-01-02 23:00,8.938,0.273,0,0,1.201,0,0,0.650
2024-01-03 00:00,2024-01-03 00:00,9.048,0.332,0,0,1.200,0,0,0.821
2024-01-03 01:00,2024-01-03 01:00,9.087,0.383,0,0,1.200,0,0,0.818
2024-01-03 02:00,2024-01-03 02:00,8.933,0.397,0,0,1.201,0,0,0.706
2024-01-03 03:00,2024-01-03 03:00,8.550,0.190,0,0,1.203,0,0,0.429
2024-01-03 04:00,2024-01-03 04:00,8.273,0.152,0,0,1.205,0,0,0.573
2024-01-03 05:00,2024-01-03 05:00,8.296,0.193,0,0,1.205,0,0,0.736
2024-01-03 06:00,2024-01-03 06:00,8.353,0.252,0,0,1.205,0,0,0.701
2024-01-03 07:00,2024-01-03 07:00,8.358,0.221,0,0,1.205,0,0,0.657
2024-01-03 08:00,2024-01-03 08:00,8.412,0.196,0,0,1.205,5.193,41.062,0.716
2024-01-03 09:00,2024-01-03 09:00,8.655,0.190,0,0,1.204,32.322,187.640,0.773
2024-01-03 10:00,2024-01-03 10:00,8.969,0.186,0,0,1.204,61.239,301.058,0.767
2024-01-03 11:00,2024-01-03 11:00,9.232,0.175,0,0,1.204,87.183,364.821,0.722
2024-01-03 12:00,2024-01-03 12:00,9.431,0.137,0,0,1.203,109.430,374.452,0.629
