# Renewables.ninja Weather (Point API) - 51.454, -2.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "51.4538022", "lon": "-2.5972985", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "true", "var_snomas": "true", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2020-01-01 00:00,2020-01-01 00:00,5.627,0.008,0,0,1.270,0,0,0.882
2020-01-01 01:00,2020-01-01 01:00,5.417,0.008,0,0,1.270,0,0,0.852
2020-01-01 02:00,2020-01-01 02:00,5.254,0.012,0,0,1.270,0,0,0.844
2020-01-01 03:00,2020-01-01 03:00,5.190,0.022,0,0,1.269,0,0,0.756
2020-01-01 04:00,2020-01-01 04:00,5.225,0.022,0,0,1.268,0,0,0.678
2020-01-01 05:00,2020-01-01 05:00,5.299,0.020,0,0,1.268,0,0,0.621
2020-01-01 06:00,2020-01-01 06:00,5.011,0.018,0,0,1.268,0,0,0.574
2020-01-01 07:00,2020-01-01 07:00,4.439,0.014,0,0,1.268,0,0,0.538
2020-01-01 08:00,2020-01-01 08:00,4.279,0.012,0,0,1.268,8.429,38.635,0.508
2020-01-01 09:00,2020-01-01 09:00,5.324,0.013,0,0,1.269,58.798,183.827,0.482
2020-01-01 10:00,2020-01-01 10:00,6.326,0.014,0,0,1.268,110.378,297.056,0.464
2020-01-01 11:00,2020-01-01 11:00,6.925,0.014,0,0,1.266,134.643,360.600,0.535
2020-01-01 12:00,2020-01-01 12:00,7.320,0.013,0,0,1.263,115.215,370.202,0.624
2020-01-01 13:00,2020-01-01 13:00,7.532,0.011,0,0,1.261,91.811,325.141,0.625
2020-01-01 14:00,2020-01-01 14:00,7.531,0.013,0,0,1.259,64.230,228.596,0.594
2020-01-01 15:00,2020-01-01 15:00,6.908,0.015,0,0,1.259,18.721,87.022,0.578
2020-01-01 16:00,2020-01-01 16:00,6.340,0.015,0,0,1.259,0.005,0.103,0.593
2020-01-01 17:00,2020-01-01 17:00,6.596,0.017,0,0,1.260,0,0,0.760
2020-01-01 18:00,2020-01-01 18:00,6.869,0.033,0,0,1.260,0,0,0.771
2020-01-01 19:00,2020-01-01 19:00,6.932,0.034,0,0,1.260,0,0,0.765
2020-01-01 20:00,2020-01-01 20:00,6.992,0.036,0,0,1.259,0,0,0.786
2020-01-01 21:00,2020-01-01 21:00,7.049,0.037,0,0,1.258,0,0,0.728
2020-01-01 22:00,2020-01-01 22:00,7.072,0.036,0,0,1.258,0,0,0.758
2020-01-01 23:00,2020-01-01 23:00,7.194,0.037,0,0,1.257,0,0,0.763
2020-01-02 00:00,2020-01-02 00:00,7.203,0.034,0,0,1.256,0,0,0.741
2020-01-02 01:00,2020-01-02 01:00,7.161,0.031,0,0,1.255,0,0,0.674
2020-01-02 02:00,2020-01-02 02:00,7.078,0.028,0,0,1.255,0,0,0.690
2020-01-02 03:00,2020-01-02 03:00,7.227,0.034,0,0,1.253,0,0,0.790
2020-01-02 04:00,2020-01-02 04:00,7.409,0.032,0,0,1.251,0,0,0.764
2020-01-02 05:00,2020-01-02 05:00,7.385,0.026,0,0,1.251,0,0,0.612
2020-01-02 06:00,2020-01-02 06:00,7.115,0.012,0,0,1.251,0,0,0.663
2020-01-02 07:00,2020-01-02 07:00,6.911,0.004,0,0,1.251,0,0,0.850
2020-01-02 08:00,2020-01-02 08:00,6.711,0.001,0,0,1.252,10.360,39.771,0.956
2020-01-02 09:00,2020-01-02 09:00,7.231,0.001,0,0,1.250,42.778,185.586,0.989
2020-01-02 10:00,2020-01-02 10:00,7.781,0.001,0,0,1.247,58.428,298.931,0.975
2020-01-02 11:00,2020-01-02 11:00,8.368,0.004,0,0,1.244,110.626,362.475,0.923
2020-01-02 12:00,2020-01-02 12:00,9.033,0.006,0,0,1.240,156.662,372.077,0.976
2020-01-02 13:00,2020-01-02 13:00,9.103,0.010,0,0,1.237,73.377,327.016,0.992
2020-01-02 14:00,2020-01-02 14:00,9.063,0.017,0,0,1.236,45.582,230.408,0.992
2020-01-02 15:00,2020-01-02 15:00,8.888,0.020,0,0,1.236,18.658,88.772,0.992
2020-01-02 16:00,2020-01-02 16:00,8.691,0.019,0,0,1.236,0.010,0.156,0.997
2020-01-02 17:00,2020-01-02 17:00,8.724,0.049,0,0,1.236,0,0,0.995
2020-01-02 18:00,2020-01-02 18:00,8.893,0.230,0,0,1.234,0,0,0.993
2020-01-02 19:00,2020-01-02 19:00,9.246,0.462,0,0,1.232,0,0,0.997
2020-01-02 20:00,2020-01-02 20:00,9.625,0.436,0,0,1.230,0,0,0.986
2020-01-02 21:00,2020-01-02 21:00,9.851,0.399,0,0,1.229,0,0,0.973
2020-01-02 22:00,2020-01-02 22:00,10.028,0.278,0,0,1.227,0,0,0.995
2020-01-02 23:00,2020-01-02 23:00,10.072,0.238,0,0,1.226,0,0,0.891
2020-01-03 00:00,2020-01-03 00:00,9.674,0.186,0,0,1.227,0,0,0.476
2020-01-03 01:00,2020-01-03 01:00,9.247,0.199,0,0,1.229,0,0,0.420
2020-01-03 02:00,2020-01-03 02:00,8.758,0.175,0,0,1.232,0,0,0.317
2020-01-03 03:00,2020-01-03 03:00,8.241,0.148,0,0,1.235,0,0,0.350
2020-01-03 04:00,2020-01-03 04:00,7.994,0.261,0,0,1.237,0,0,0.439
2020-01-03 05:00,2020-01-03 05:00,7.987,0.177,0,0,1.238,0,0,0.498
2020-01-03 06:00,2020-01-03 06:00,8.100,0.123,0,0,1.238,0,0,0.521
2020-01-03 07:00,2020-01-03 07:00,7.845,0.071,0,0,1.242,0,0,0.503
2020-01-03 08:00,2020-01-03 08:00,6.901,0.009,0,0,1.250,8.297,41.045,0.326
2020-01-03 09:00,2020-01-03 09:00,6.191,0.001,0,0,1.257,88.840,187.515,0.092
2020-01-03 10:00,2020-01-03 10:00,6.419,0,0,0,1.260,182.512,300.931,0.059
2020-01-03 11:00,2020-01-03 11:00,7.004,0,0,0,1.259,238.497,364.571,0.159
2020-01-03 12:00,2020-01-03 12:00,7.445,0.001,0,0,1.258,246.416,374.202,0.145
2020-01-03 13:00,2020-01-03 13:00,7.563,0.001,0,0,1.258,209.953,329.131,0.390
2020-01-03 14:00,2020-01-03 14:00,7.187,0.001,0,0,1.259,132.409,232.408,0.442
2020-01-03 15:00,2020-01-03 15:00,5.971,0,0,0,1.263,40.108,90.683,0.019
2020-01-03 16:00,2020-01-03 16:00,4.392,0,0,0,1.266,0.044,0.225,0.157
2020-01-03 17:00,2020-01-03 17:00,3.984,0,0,0,1.269,0,0,0.660
2020-01-03 18:00,2020-01-03 18:00,3.815,0,0,0,1.272,0,0,0.909
