time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot,wind_speed
2018-01-01 00:00,2018-01-01 00:00,5.922,0.169,0.0,0.0,1.229,0.0,0.0,0.498,10.9
2018-01-01 01:00,2018-01-01 01:00,6.167,0.313,0.0,0.0,1.228,0.0,0.0,0.509,10.963
2018-01-01 02:00,2018-01-01 02:00,6.283,0.287,0.0,0.0,1.227,0.0,0.0,0.502,11.444
2018-01-01 03:00,2018-01-01 03:00,6.103,0.176,0.0,0.0,1.228,0.0,0.0,0.429,11.311
2018-01-01 04:00,2018-01-01 04:00,5.954,0.209,0.0,0.0,1.228,0.0,0.0,0.396,10.699
2018-01-01 05:00,2018-01-01 05:00,5.735,0.126,0.0,0.0,1.228,0.0,0.0,0.39,9.505
2018-01-01 06:00,2018-01-01 06:00,5.438,0.045,0.0,0.0,1.229,0.0,0.0,0.822,8.617
2018-01-01 07:00,2018-01-01 07:00,5.22,0.018,0.0,0.0,1.229,0.0,0.0,0.894,7.816
2018-01-01 08:00,2018-01-01 08:00,5.115,0.007,0.0,0.0,1.228,7.076,39.193,0.914,7.123
2018-01-01 09:00,2018-01-01 09:00,5.678,0.004,0.0,0.0,1.228,46.895,184.702,0.894,6.468
2018-01-01 10:00,2018-01-01 10:00,6.374,0.004,0.0,0.0,1.227,103.099,297.933,0.705,6.257
2018-01-01 11:00,2018-01-01 11:00,7.121,0.019,0.0,0.0,1.224,182.723,361.591,0.276,7.075
2018-01-01 12:00,2018-01-01 12:00,7.562,0.012,0.0,0.0,1.223,207.387,371.202,0.137,8.708
2018-01-01 13:00,2018-01-01 13:00,7.569,0.007,0.0,0.0,1.223,184.256,326.131,0.128,9.783
2018-01-01 14:00,2018-01-01 14:00,7.173,0.019,0.0,0.0,1.225,120.338,229.524,0.251,10.709
2018-01-01 15:00,2018-01-01 15:00,6.668,0.05,0.0,0.0,1.227,30.025,87.897,0.482,11.764
2018-01-01 16:00,2018-01-01 16:00,6.601,0.068,0.0,0.0,1.229,0.014,0.127,0.487,12.581
2018-01-01 17:00,2018-01-01 17:00,6.734,0.031,0.0,0.0,1.23,0.0,0.0,0.355,13.23
2018-01-01 18:00,2018-01-01 18:00,6.745,0.017,0.0,0.0,1.232,0.0,0.0,0.317,13.34
2018-01-01 19:00,2018-01-01 19:00,6.619,0.009,0.0,0.0,1.234,0.0,0.0,0.215,12.641
2018-01-01 20:00,2018-01-01 20:00,6.288,0.005,0.0,0.0,1.237,0.0,0.0,0.154,11.471
2018-01-01 21:00,2018-01-01 21:00,5.818,0.004,0.0,0.0,1.24,0.0,0.0,0.125,10.352
2018-01-01 22:00,2018-01-01 22:00,5.409,0.006,0.0,0.0,1.244,0.0,0.0,0.092,9.557
2018-01-01 23:00,2018-01-01 23:00,5.143,0.004,0.0,0.0,1.246,0.0,0.0,0.147,9.142
2018-01-02 00:00,2018-01-02 00:00,4.727,0.002,0.0,0.0,1.247,0.0,0.0,0.124,8.547
2018-01-02 01:00,2018-01-02 01:00,3.73,0.001,0.0,0.0,1.249,0.0,0.0,0.124,7.985
2018-01-02 02:00,2018-01-02 02:00,3.196,0.0,0.0,0.0,1.249,0.0,0.0,0.742,7.768
2018-01-02 03:00,2018-01-02 03:00,3.158,0.0,0.0,0.0,1.249,0.0,0.0,0.992,6.669
2018-01-02 04:00,2018-01-02 04:00,3.515,0.0,0.0,0.0,1.249,0.0,0.0,0.992,6.343
2018-01-02 05:00,2018-01-02 05:00,3.769,0.002,0.0,0.0,1.247,0.0,0.0,0.979,6.045
2018-01-02 06:00,2018-01-02 06:00,4.185,0.031,0.0,0.0,1.246,0.0,0.0,0.994,6.956
2018-01-02 07:00,2018-01-02 07:00,4.971,0.331,0.0,0.0,1.245,0.0,0.0,0.995,7.499
2018-01-02 08:00,2018-01-02 08:00,5.749,0.603,0.0,0.0,1.241,4.115,40.394,0.998,8.128
