# Renewables.ninja Weather (Point API) - 51.454, -2.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "51.4538022", "lon": "-2.5972985", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "true", "var_snomas": "true", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2022-01-01 00:00,2022-01-01 00:00,10.939,0.019,0,0,1.228,0,0,0.946
2022-01-01 01:00,2022-01-01 01:00,10.403,0.008,0,0,1.230,0,0,0.954
2022-01-01 02:00,2022-01-01 02:00,10.258,0.007,0,0,1.230,0,0,0.987
2022-01-01 03:00,2022-01-01 03:00,10.333,0.012,0,0,1.229,0,0,0.991
2022-01-01 04:00,2022-01-01 04:00,10.442,0.013,0,0,1.227,0,0,0.991
2022-01-01 05:00,2022-01-01 05:00,10.511,0.011,0,0,1.226,0,0,0.973
2022-01-01 06:00,2022-01-01 06:00,10.487,0.008,0,0,1.226,0,0,0.952
2022-01-01 07:00,2022-01-01 07:00,10.391,0.005,0,0,1.226,0,0,0.945
2022-01-01 08:00,2022-01-01 08:00,10.403,0.005,0,0,1.227,11.139,39.193,0.890
2022-01-01 09:00,2022-01-01 09:00,10.978,0.013,0,0,1.226,69.426,184.712,0.951
2022-01-01 10:00,2022-01-01 10:00,11.655,0.025,0,0,1.223,81.115,298.046,0.991
