time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot,wind_speed
2020-01-01 00:00,2020-01-01 00:00,5.627,0.008,0.0,0.0,1.27,0.0,0.0,0.882,5.616
2020-01-01 01:00,2020-01-01 01:00,5.417,0.008,0.0,0.0,1.27,0.0,0.0,0.852,5.183
2020-01-01 02:00,2020-01-01 02:00,5.254,0.012,0.0,0.0,1.27,0.0,0.0,0.844,4.559
2020-01-01 03:00,2020-01-01 03:00,5.19,0.022,0.0,0.0,1.269,0.0,0.0,0.756,3.889
2020-01-01 04:00,2020-01-01 04:00,5.225,0.022,0.0,0.0,1.268,0.0,0.0,0.678,3.152
2020-01-01 05:00,2020-01-01 05:00,5.299,0.02,0.0,0.0,1.268,0.0,0.0,0.621,2.635
2020-01-01 06:00,2020-01-01 06:00,5.011,0.018,0.0,0.0,1.268,0.0,0.0,0.574,3.131
2020-01-01 07:00,2020-01-01 07:00,4.439,0.014,0.0,0.0,1.268,0.0,0.0,0.538,3.988
2020-01-01 08:00,2020-01-01 08:00,4.279,0.012,0.0,0.0,1.268,8.429,38.635,0.508,4.725
2020-01-01 09:00,2020-01-01 09:00,5.324,0.013,0.0,0.0,1.269,58.798,183.827,0.482,4.986
2020-01-01 10:00,2020-01-01 10:00,6.326,0.014,0.0,0.0,1.268,110.378,297.056,0.464,4.606
2020-01-01 11:00,2020-01-01 11:00,6.925,0.014,0.0,0.0,1.266,134.643,360.6,0.535,4.252
2020-01-01 12:00,2020-01-01 12:00,7.32,0.013,0.0,0.0,1.263,115.215,370.202,0.624,4.214
2020-01-01 13:00,2020-01-01 13:00,7.532,0.011,0.0,0.0,1.261,91.811,325.141,0.625,4.363
2020-01-01 14:00,2020-01-01 14:00,7.531,0.013,0.0,0.0,1.259,64.23,228.596,0.594,4.729
2020-01-01 15:00,2020-01-01 15:00,6.908,0.015,0.0,0.0,1.259,18.721,87.022,0.578,5.466
2020-01-01 16:00,2020-01-01 16:00,6.34,0.015,0.0,0.0,1.259,0.005,0.103,0.593,6.113
2020-01-01 17:00,2020-01-01 17:00,6.596,0.017,0.0,0.0,1.26,0.0,0.0,0.76,6.452
2020-01-01 18:00,2020-01-01 18:00,6.869,0.033,0.0,0.0,1.26,0.0,0.0,0.771,6.602
2020-01-01 19:00,2020-01-01 19:00,6.932,0.034,0.0,0.0,1.26,0.0,0.0,0.765,6.684
2020-01-01 20:00,2020-01-01 20:00,6.992,0.036,0.0,0.0,1.259,0.0,0.0,0.786,6.742
2020-01-01 21:00,2020-01-01 21:00,7.049,0.037,0.0,0.0,1.258,0.0,0.0,0.728,6.809
2020-01-01 22:00,2020-01-01 22:00,7.072,0.036,0.0,0.0,1.258,0.0,0.0,0.758,6.951
2020-01-01 23:00,2020-01-01 23:00,7.194,0.037,0.0,0.0,1.257,0.0,0.0,0.763,7.074
2020-01-02 00:00,2020-01-02 00:00,7.203,0.034,0.0,0.0,1.256,0.0,0.0,0.741,6.936
2020-01-02 01:00,2020-01-02 01:00,7.161,0.031,0.0,0.0,1.255,0.0,0.0,0.674,6.951
2020-01-02 02:00,2020-01-02 02:00,7.078,0.028,0.0,0.0,1.255,0.0,0.0,0.69,6.997
2020-01-02 03:00,2020-01-02 03:00,7.227,0.034,0.0,0.0,1.253,0.0,0.0,0.79,7.418
2020-01-02 04:00,2020-01-02 04:00,7.409,0.032,0.0,0.0,1.251,0.0,0.0,0.764,7.75
2020-01-02 05:00,2020-01-02 05:00,7.385,0.026,0.0,0.0,1.251,0.0,0.0,0.612,7.983
2020-01-02 06:00,2020-01-02 06:00,7.115,0.012,0.0,0.0,1.251,0.0,0.0,0.663,8.206
2020-01-02 07:00,2020-01-02 07:00,6.911,0.004,0.0,0.0,1.251,0.0,0.0,0.85,8.405
2020-01-02 08:00,2020-01-02 08:00,6.711,0.001,0.0,0.0,1.252,10.36,39.771,0.956,8.515
2020-01-02 09:00,2020-01-02 09:00,7.231,0.001,0.0,0.0,1.25,42.778,185.586,0.989,8.731
2020-01-02 10:00,2020-01-02 10:00,7.781,0.001,0.0,0.0,1.247,58.428,298.931,0.975,8.967
2020-01-02 11:00,2020-01-02 11:00,8.368,0.004,0.0,0.0,1.244,110.626,362.475,0.923,8.947
2020-01-02 12:00,2020-01-02 12:00,9.033,0.006,0.0,0.0,1.24,156.662,372.077,0.976,9.405
2020-01-02 13:00,2020-01-02 13:00,9.103,0.01,0.0,0.0,1.237,73.377,327.016,0.992,9.82
2020-01-02 14:00,2020-01-02 14:00,9.063,0.017,0.0,0.0,1.236,45.582,230.408,0.992,10.243
2020-01-02 15:00,2020-01-02 15:00,8.888,0.02,0.0,0.0,1.236,18.658,88.772,0.992,10.241
2020-01-02 16:00,2020-01-02 16:00,8.691,0.019,0.0,0.0,1.236,0.01,0.156,0.997,10.308
2020-01-02 17:00,2020-01-02 17:00,8.724,0.049,0.0,0.0,1.236,0.0,0.0,0.995,10.575
2020-01-02 18:00,2020-01-02 18:00,8.893,0.23,0.0,0.0,1.234,0.0,0.0,0.993,10.688
