# Renewables.ninja Weather (Point API) - 51.454, -2.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "51.4538022", "lon": "-2.5972985", "date_from": "2017-01-01", "date_to": "2017-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "true", "var_snomas": "true", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2017-01-01 00:00,2017-01-01 00:00,6.234,0.053,0,0,1.257,0,0,0.874
2017-01-01 01:00,2017-01-01 01:00,6.375,0.052,0,0,1.255,0,0,0.966
2017-01-01 02:00,2017-01-01 02:00,6.569,0.067,0,0,1.252,0,0,0.992
2017-01-01 03:00,2017-01-01 03:00,6.962,0.083,0,0,1.249,0,0,0.998
2017-01-01 04:00,2017-01-01 04:00,7.419,0.124,0,0,1.244,0,0,0.998
2017-01-01 05:00,2017-01-01 05:00,7.742,0.221,0,0,1.241,0,0,0.998
2017-01-01 06:00,2017-01-01 06:00,7.924,0.386,0,0,1.239,0,0,0.997
2017-01-01 07:00,2017-01-01 07:00,7.797,0.556,0,0,1.239,0,0,0.997
2017-01-01 08:00,2017-01-01 08:00,7.247,0.725,0,0,1.242,2.329,39.477,0.997
2017-01-01 09:00,2017-01-01 09:00,6.586,0.925,0,0,1.247,13.127,185.202,0.997
2017-01-01 10:00,2017-01-01 10:00,5.211,1.067,0,0,1.256,24.484,298.433,0.997
2017-01-01 11:00,2017-01-01 11:00,3.750,1.055,0.009,0.001,1.264,33.821,362.091,0.997
2017-01-01 12:00,2017-01-01 12:00,2.899,0.879,0.012,0.010,1.269,35.591,371.702,0.997
2017-01-01 13:00,2017-01-01 13:00,2.799,0.600,0.016,0.018,1.270,30.733,326.631,0.997
2017-01-01 14:00,2017-01-01 14:00,3.105,0.306,0,0.017,1.269,23.234,229.975,0.997
2017-01-01 15:00,2017-01-01 15:00,3.305,0.143,0,0.016,1.268,9.864,88.335,0.994
2017-01-01 16:00,2017-01-01 16:00,3.335,0.090,0,0.015,1.268,0.010,0.141,0.994
2017-01-01 17:00,2017-01-01 17:00,3.356,0.061,0,0.014,1.269,0,0,0.974
2017-01-01 18:00,2017-01-01 18:00,3.283,0.095,0,0.014,1.270,0,0,0.930
2017-01-01 19:00,2017-01-01 19:00,3.087,0.042,0,0.013,1.272,0,0,0.826
2017-01-01 20:00,2017-01-01 20:00,2.605,0.019,0,0.013,1.275,0,0,0.470
2017-01-01 21:00,2017-01-01 21:00,1.847,0.009,0,0.013,1.279,0,0,0.166
2017-01-01 22:00,2017-01-01 22:00,1.024,0.004,0,0.013,1.284,0,0,0.213
2017-01-01 23:00,2017-01-01 23:00,0.568,0.004,0.002,0.013,1.288,0,0,0.368
2017-01-02 00:00,2017-01-02 00:00,0.352,0.007,0.005,0.014,1.291,0,0,0.568
2017-01-02 01:00,2017-01-02 01:00,0.526,0.009,0.006,0.015,1.292,0,0,0.518
2017-01-02 02:00,2017-01-02 02:00,0.415,0.015,0.010,0.015,1.293,0,0,0.793
2017-01-02 03:00,2017-01-02 03:00,0.627,0.039,0.014,0.016,1.293,0,0,0.882
2017-01-02 04:00,2017-01-02 04:00,0.895,0.052,0.006,0.016,1.292,0,0,0.863
2017-01-02 05:00,2017-01-02 05:00,0.951,0.043,0.002,0.015,1.293,0,0,0.857
2017-01-02 06:00,2017-01-02 06:00,0.888,0.043,0.002,0.015,1.294,0,0,0.830
2017-01-02 07:00,2017-01-02 07:00,0.715,0.042,0.008,0.016,1.295,0,0,0.767
2017-01-02 08:00,2017-01-02 08:00,0.501,0.030,0.010,0.017,1.298,8.638,40.718,0.697
2017-01-02 09:00,2017-01-02 09:00,0.750,0.009,0.005,0.017,1.298,61.991,187.077,0.575
2017-01-02 10:00,2017-01-02 10:00,1.593,0.001,0,0.016,1.295,144.267,300.433,0.268
2017-01-02 11:00,2017-01-02 11:00,2.602,0,0,0.015,1.291,230.710,364.100,0.029
2017-01-02 12:00,2017-01-02 12:00,3.351,0,0,0.015,1.287,244.285,373.702,0.015
2017-01-02 13:00,2017-01-02 13:00,3.651,0,0,0.014,1.285,209.421,328.631,0.013
