time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot,wind_speed
2021-01-01 00:00,2021-01-01 00:00,-0.829,0.015,0.014,0.314,1.273,0.0,0.0,0.616,3.577
2021-01-01 01:00,2021-01-01 01:00,-0.872,0.015,0.015,0.319,1.276,0.0,0.0,0.694,3.779
2021-01-01 02:00,2021-01-01 02:00,-0.942,0.017,0.016,0.324,1.279,0.0,0.0,0.722,3.833
2021-01-01 03:00,2021-01-01 03:00,-1.103,0.015,0.015,0.328,1.28,0.0,0.0,0.75,3.858
2021-01-01 04:00,2021-01-01 04:00,-1.082,0.012,0.012,0.332,1.28,0.0,0.0,0.834,3.92
2021-01-01 05:00,2021-01-01 05:00,-1.013,0.009,0.008,0.335,1.279,0.0,0.0,0.857,4.04
2021-01-01 06:00,2021-01-01 06:00,-0.954,0.007,0.007,0.339,1.279,0.0,0.0,0.864,4.219
2021-01-01 07:00,2021-01-01 07:00,-0.842,0.008,0.006,0.342,1.277,0.0,0.0,0.835,4.451
2021-01-01 08:00,2021-01-01 08:00,-0.379,0.013,0.004,0.344,1.275,8.04,39.473,0.821,4.691
2021-01-01 09:00,2021-01-01 09:00,0.789,0.02,0.003,0.346,1.272,41.018,185.14,0.787,4.816
2021-01-01 10:00,2021-01-01 10:00,1.686,0.026,0.003,0.345,1.27,69.554,298.431,0.78,4.945
2021-01-01 11:00,2021-01-01 11:00,2.306,0.031,0.0,0.339,1.267,88.15,362.071,0.77,5.275
2021-01-01 12:00,2021-01-01 12:00,2.677,0.03,0.0,0.331,1.265,92.425,371.587,0.823,5.576
2021-01-01 13:00,2021-01-01 13:00,2.798,0.028,0.0,0.322,1.264,78.584,326.614,0.933,5.846
2021-01-01 14:00,2021-01-01 14:00,2.61,0.024,0.0,0.314,1.265,50.632,229.914,0.961,6.151
2021-01-01 15:00,2021-01-01 15:00,2.111,0.023,0.0,0.308,1.265,14.81,88.311,0.958,6.546
2021-01-01 16:00,2021-01-01 16:00,1.801,0.021,0.0,0.304,1.267,0.012,0.141,0.938,6.965
2021-01-01 17:00,2021-01-01 17:00,1.871,0.016,0.0,0.299,1.267,0.0,0.0,0.895,7.132
2021-01-01 18:00,2021-01-01 18:00,1.874,0.025,0.0,0.295,1.268,0.0,0.0,0.801,7.154
2021-01-01 19:00,2021-01-01 19:00,1.665,0.012,0.001,0.293,1.269,0.0,0.0,0.734,7.045
2021-01-01 20:00,2021-01-01 20:00,1.347,0.009,0.0,0.29,1.271,0.0,0.0,0.662,7.02
2021-01-01 21:00,2021-01-01 21:00,1.087,0.007,0.001,0.288,1.274,0.0,0.0,0.762,6.733
2021-01-01 22:00,2021-01-01 22:00,0.953,0.007,0.002,0.288,1.276,0.0,0.0,0.811,6.573
2021-01-01 23:00,2021-01-01 23:00,0.738,0.007,0.002,0.289,1.278,0.0,0.0,0.798,6.624
2021-01-02 00:00,2021-01-02 00:00,0.437,0.011,0.007,0.289,1.281,0.0,0.0,0.842,6.331
2021-01-02 01:00,2021-01-02 01:00,0.266,0.012,0.01,0.291,1.282,0.0,0.0,0.779,6.241
2021-01-02 02:00,2021-01-02 02:00,0.191,0.01,0.009,0.295,1.282,0.0,0.0,0.654,6.334
2021-01-02 03:00,2021-01-02 03:00,-0.074,0.008,0.008,0.299,1.283,0.0,0.0,0.568,6.146
2021-01-02 04:00,2021-01-02 04:00,-0.32,0.007,0.007,0.303,1.284,0.0,0.0,0.533,5.991
2021-01-02 05:00,2021-01-02 05:00,-0.747,0.005,0.005,0.306,1.285,0.0,0.0,0.487,5.86
2021-01-02 06:00,2021-01-02 06:00,-1.056,0.005,0.005,0.309,1.285,0.0,0.0,0.476,5.767
2021-01-02 07:00,2021-01-02 07:00,-1.173,0.006,0.005,0.312,1.285,0.0,0.0,0.477,5.518
2021-01-02 08:00,2021-01-02 08:00,-0.971,0.006,0.005,0.316,1.284,12.151,40.706,0.484,5.158
2021-01-02 09:00,2021-01-02 09:00,0.337,0.003,0.002,0.317,1.282,73.695,187.023,0.437,4.78
2021-01-02 10:00,2021-01-02 10:00,1.558,0.004,0.001,0.316,1.278,137.465,300.421,0.416,4.492
2021-01-02 11:00,2021-01-02 11:00,2.685,0.008,0.0,0.307,1.272,192.334,364.071,0.701,4.402
2021-01-02 12:00,2021-01-02 12:00,3.4,0.022,0.0,0.296,1.268,145.117,373.685,0.811,4.368
2021-01-02 13:00,2021-01-02 13:00,3.62,0.066,0.0,0.286,1.265,110.521,328.614,0.792,4.416
2021-01-02 14:00,2021-01-02 14:00,3.178,0.118,0.0,0.28,1.265,68.736,231.908,0.739,4.577
2021-01-02 15:00,2021-01-02 15:00,2.053,0.127,0.0,0.279,1.265,19.755,90.183,0.802,5.272
2021-01-02 16:00,2021-01-02 16:00,1.5,0.08,0.0,0.28,1.267,0.015,0.207,0.7,6.212
2021-01-02 17:00,2021-01-02 17:00,1.255,0.028,0.001,0.28,1.271,0.0,0.0,0.479,6.955
2021-01-02 18:00,2021-01-02 18:00,0.753,0.009,0.003,0.281,1.275,0.0,0.0,0.355,7.142
2021-01-02 19:00,2021-01-02 19:00,-0.068,0.011,0.01,0.286,1.28,0.0,0.0,0.437,6.789
2021-01-02 20:00,2021-01-02 20:00,-0.325,0.024,0.024,0.299,1.283,0.0,0.0,0.572,6.552
2021-01-02 21:00,2021-01-02 21:00,-0.32,0.045,0.044,0.32,1.284,0.0,0.0,0.628,6.449
2021-01-02 22:00,2021-01-02 22:00,-0.234,0.089,0.081,0.347,1.284,0.0,0.0,0.652,6.539
2021-01-02 23:00,2021-01-02 23:00,-0.015,0.097,0.082,0.409,1.283,0.0,0.0,0.769,6.62
2021-01-03 00:00,2021-01-03 00:00,0.259,0.077,0.051,0.472,1.282,0.0,0.0,0.843,6.73
2021-01-03 01:00,2021-01-03 01:00,0.445,0.058,0.024,0.5,1.281,0.0,0.0,0.878,6.627
2021-01-03 02:00,2021-01-03 02:00,0.644,0.045,0.01,0.512,1.28,0.0,0.0,0.897,6.449
2021-01-03 03:00,2021-01-03 03:00,0.908,0.034,0.008,0.516,1.278,0.0,0.0,0.923,6.425
2021-01-03 04:00,2021-01-03 04:00,1.169,0.028,0.006,0.516,1.277,0.0,0.0,0.939,6.603
2021-01-03 05:00,2021-01-03 05:00,1.407,0.025,0.004,0.513,1.276,0.0,0.0,0.961,6.955
2021-01-03 06:00,2021-01-03 06:00,1.574,0.023,0.003,0.508,1.276,0.0,0.0,0.979,7.108
2021-01-03 07:00,2021-01-03 07:00,1.638,0.022,0.002,0.502,1.276,0.0,0.0,0.983,7.107
2021-01-03 08:00,2021-01-03 08:00,1.717,0.023,0.001,0.495,1.276,4.394,42.071,0.988,7.335
2021-01-03 09:00,2021-01-03 09:00,1.956,0.023,0.001,0.485,1.276,24.816,189.077,0.984,7.284
2021-01-03 10:00,2021-01-03 10:00,2.291,0.021,0.001,0.47,1.275,48.954,302.556,0.979,7.171
2021-01-03 11:00,2021-01-03 11:00,2.676,0.018,0.0,0.453,1.273,70.343,366.225,0.977,7.025
2021-01-03 12:00,2021-01-03 12:00,3.051,0.014,0.0,0.432,1.271,80.947,375.827,0.969,7.035
2021-01-03 13:00,2021-01-03 13:00,3.366,0.012,0.0,0.413,1.269,73.658,330.756,0.953,7.29
2021-01-03 14:00,2021-01-03 14:00,3.45,0.013,0.0,0.396,1.268,52.297,234.033,0.963,7.336
2021-01-03 15:00,2021-01-03 15:00,3.284,0.016,0.0,0.384,1.268,14.404,92.214,0.974,7.612
2021-01-03 16:00,2021-01-03 16:00,3.148,0.019,0.0,0.374,1.269,0.018,0.289,0.97,7.953
2021-01-03 17:00,2021-01-03 17:00,3.118,0.024,0.0,0.364,1.269,0.0,0.0,0.945,7.766
2021-01-03 18:00,2021-01-03 18:00,3.043,0.021,0.0,0.355,1.27,0.0,0.0,0.903,7.604
2021-01-03 19:00,2021-01-03 19:00,2.933,0.019,0.0,0.347,1.271,0.0,0.0,0.819,7.491
2021-01-03 20:00,2021-01-03 20:00,2.732,0.016,0.0,0.341,1.273,0.0,0.0,0.738,7.695
2021-01-03 21:00,2021-01-03 21:00,2.471,0.011,0.0,0.335,1.275,0.0,0.0,0.756,7.786
2021-01-03 22:00,2021-01-03 22:00,2.22,0.009,0.0,0.328,1.277,0.0,0.0,0.894,7.891
2021-01-03 23:00,2021-01-03 23:00,2.059,0.01,0.0,0.319,1.278,0.0,0.0,0.96,7.846
2021-01-04 00:00,2021-01-04 00:00,2.006,0.01,0.001,0.311,1.279,0.0,0.0,0.981,8.103
2021-01-04 01:00,2021-01-04 01:00,1.928,0.007,0.001,0.305,1.279,0.0,0.0,0.961,8.182
2021-01-04 02:00,2021-01-04 02:00,1.686,0.007,0.001,0.301,1.28,0.0,0.0,0.845,8.293
2021-01-04 03:00,2021-01-04 03:00,1.271,0.007,0.002,0.3,1.282,0.0,0.0,0.862,8.288
2021-01-04 04:00,2021-01-04 04:00,0.818,0.008,0.003,0.302,1.285,0.0,0.0,0.954,7.792
2021-01-04 05:00,2021-01-04 05:00,0.709,0.01,0.002,0.303,1.285,0.0,0.0,0.983,8.326
2021-01-04 06:00,2021-01-04 06:00,0.747,0.009,0.001,0.303,1.285,0.0,0.0,0.981,8.341
2021-01-04 07:00,2021-01-04 07:00,0.977,0.008,0.001,0.303,1.284,0.0,0.0,0.951,8.737
2021-01-04 08:00,2021-01-04 08:00,1.293,0.009,0.001,0.3,1.282,6.65,43.566,0.921,9.029
2021-01-04 09:00,2021-01-04 09:00,1.788,0.011,0.001,0.292,1.28,34.36,191.327,0.846,9.061
2021-01-04 10:00,2021-01-04 10:00,2.4,0.01,0.001,0.278,1.278,81.161,304.808,0.752,9.175
2021-01-04 11:00,2021-01-04 11:00,3.07,0.01,0.0,0.259,1.275,126.412,368.591,0.748,9.624
2021-01-04 12:00,2021-01-04 12:00,3.594,0.009,0.0,0.239,1.271,150.643,378.202,0.824,9.832
2021-01-04 13:00,2021-01-04 13:00,3.829,0.01,0.0,0.22,1.269,122.136,333.131,0.914,10.006
2021-01-04 14:00,2021-01-04 14:00,3.706,0.012,0.0,0.206,1.269,77.98,236.292,0.979,10.077
2021-01-04 15:00,2021-01-04 15:00,3.261,0.011,0.0,0.196,1.27,23.407,94.402,0.995,10.1
2021-01-04 16:00,2021-01-04 16:00,2.77,0.008,0.0,0.189,1.272,0.053,0.41,0.996,10.078
2021-01-04 17:00,2021-01-04 17:00,2.42,0.005,0.0,0.184,1.275,0.0,0.0,0.995,9.999
2021-01-04 18:00,2021-01-04 18:00,2.025,0.003,0.0,0.182,1.277,0.0,0.0,0.987,9.699
2021-01-04 19:00,2021-01-04 19:00,1.563,0.002,0.0,0.181,1.28,0.0,0.0,0.942,8.98
2021-01-04 20:00,2021-01-04 20:00,0.959,0.002,0.0,0.181,1.283,0.0,0.0,0.804,8.35
2021-01-04 21:00,2021-01-04 21:00,0.492,0.002,0.001,0.182,1.286,0.0,0.0,0.701,8.317
2021-01-04 22:00,2021-01-04 22:00,0.172,0.005,0.003,0.183,1.289,0.0,0.0,0.711,8.336
2021-01-04 23:00,2021-01-04 23:00,0.129,0.005,0.004,0.187,1.29,0.0,0.0,0.628,8.583
2021-01-05 00:00,2021-01-05 00:00,0.106,0.004,0.003,0.19,1.289,0.0,0.0,0.595,8.565
2021-01-05 01:00,2021-01-05 01:00,0.042,0.004,0.003,0.193,1.289,0.0,0.0,0.518,8.595
2021-01-05 02:00,2021-01-05 02:00,-0.15,0.005,0.002,0.195,1.29,0.0,0.0,0.487,8.405
2021-01-05 03:00,2021-01-05 03:00,-0.432,0.009,0.003,0.198,1.291,0.0,0.0,0.538,8.114
2021-01-05 04:00,2021-01-05 04:00,-0.584,0.004,0.003,0.201,1.292,0.0,0.0,0.537,8.04
2021-01-05 05:00,2021-01-05 05:00,-0.635,0.003,0.003,0.203,1.293,0.0,0.0,0.489,8.128
2021-01-05 06:00,2021-01-05 06:00,-0.675,0.003,0.002,0.205,1.293,0.0,0.0,0.495,8.164
2021-01-05 07:00,2021-01-05 07:00,-0.735,0.003,0.003,0.208,1.293,0.0,0.0,0.508,8.209
2021-01-05 08:00,2021-01-05 08:00,-0.646,0.003,0.003,0.21,1.293,12.051,45.2,0.464,8.418
2021-01-05 09:00,2021-01-05 09:00,0.052,0.002,0.001,0.212,1.291,79.007,193.702,0.279,8.774
2021-01-05 10:00,2021-01-05 10:00,0.961,0.004,0.001,0.211,1.287,152.962,307.306,0.268,8.403
2021-01-05 11:00,2021-01-05 11:00,1.965,0.006,0.0,0.203,1.282,204.471,371.196,0.266,7.941
2021-01-05 12:00,2021-01-05 12:00,2.619,0.007,0.0,0.193,1.278,194.645,380.827,0.339,8.249
2021-01-05 13:00,2021-01-05 13:00,2.937,0.005,0.0,0.183,1.276,150.854,335.631,0.361,8.496
2021-01-05 14:00,2021-01-05 14:00,2.889,0.004,0.0,0.175,1.274,96.007,238.783,0.386,8.648
2021-01-05 15:00,2021-01-05 15:00,2.429,0.003,0.0,0.171,1.275,30.901,96.75,0.436,8.91
2021-01-05 16:00,2021-01-05 16:00,1.908,0.002,0.0,0.169,1.277,0.089,0.556,0.544,9.191
2021-01-05 17:00,2021-01-05 17:00,1.428,0.002,0.0,0.168,1.28,0.0,0.0,0.601,8.476
2021-01-05 18:00,2021-01-05 18:00,1.103,0.002,0.0,0.167,1.282,0.0,0.0,0.584,8.338
2021-01-05 19:00,2021-01-05 19:00,0.753,0.002,0.0,0.167,1.285,0.0,0.0,0.652,8.106
2021-01-05 20:00,2021-01-05 20:00,0.523,0.002,0.001,0.168,1.287,0.0,0.0,0.736,7.914
2021-01-05 21:00,2021-01-05 21:00,0.337,0.004,0.003,0.17,1.288,0.0,0.0,0.786,7.714
2021-01-05 22:00,2021-01-05 22:00,0.321,0.005,0.004,0.173,1.288,0.0,0.0,0.729,7.952
2021-01-05 23:00,2021-01-05 23:00,0.087,0.006,0.005,0.177,1.289,0.0,0.0,0.726,7.674
2021-01-06 00:00,2021-01-06 00:00,-0.01,0.005,0.005,0.181,1.289,0.0,0.0,0.595,7.879
2021-01-06 01:00,2021-01-06 01:00,-0.312,0.006,0.005,0.185,1.29,0.0,0.0,0.605,7.532
2021-01-06 02:00,2021-01-06 02:00,-0.483,0.006,0.005,0.19,1.291,0.0,0.0,0.548,7.633
2021-01-06 03:00,2021-01-06 03:00,-0.688,0.006,0.006,0.195,1.292,0.0,0.0,0.576,7.582
2021-01-06 04:00,2021-01-06 04:00,-0.828,0.007,0.007,0.2,1.292,0.0,0.0,0.624,7.271
2021-01-06 05:00,2021-01-06 05:00,-0.814,0.006,0.006,0.206,1.292,0.0,0.0,0.572,7.595
2021-01-06 06:00,2021-01-06 06:00,-0.84,0.005,0.005,0.211,1.292,0.0,0.0,0.572,7.345
2021-01-06 07:00,2021-01-06 07:00,-0.854,0.005,0.005,0.215,1.292,0.0,0.0,0.526,7.214
