time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot,wind_speed
2023-01-01 00:00,2023-01-01 00:00,8.526,0.015,0.0,0.0,1.221,0.0,0.0,0.901,10.64
2023-01-01 01:00,2023-01-01 01:00,8.444,0.011,0.0,0.0,1.222,0.0,0.0,0.957,10.534
2023-01-01 02:00,2023-01-01 02:00,8.514,0.025,0.0,0.0,1.222,0.0,0.0,0.954,10.527
2023-01-01 03:00,2023-01-01 03:00,8.715,0.047,0.0,0.0,1.222,0.0,0.0,0.977,10.72
2023-01-01 04:00,2023-01-01 04:00,8.687,0.023,0.0,0.0,1.222,0.0,0.0,0.894,10.57
2023-01-01 05:00,2023-01-01 05:00,8.355,0.063,0.0,0.0,1.224,0.0,0.0,0.622,10.461
2023-01-01 06:00,2023-01-01 06:00,8.099,0.118,0.0,0.0,1.226,0.0,0.0,0.675,10.45
2023-01-01 07:00,2023-01-01 07:00,7.947,0.057,0.0,0.0,1.228,0.0,0.0,0.935,10.08
2023-01-01 08:00,2023-01-01 08:00,7.776,0.022,0.0,0.0,1.229,9.903,38.929,0.966,9.042
2023-01-01 09:00,2023-01-01 09:00,8.187,0.051,0.0,0.0,1.229,43.909,184.327,0.988,9.049
2023-01-01 10:00,2023-01-01 10:00,8.941,0.07,0.0,0.0,1.226,62.97,297.671,0.994,9.272
2023-01-01 11:00,2023-01-01 11:00,9.503,0.082,0.0,0.0,1.223,59.503,361.225,0.995,9.432
2023-01-01 12:00,2023-01-01 12:00,9.853,0.095,0.0,0.0,1.222,58.497,370.827,0.994,9.598
2023-01-01 13:00,2023-01-01 13:00,9.752,0.098,0.0,0.0,1.222,52.853,325.756,0.993,8.6
2023-01-01 14:00,2023-01-01 14:00,9.361,0.104,0.0,0.0,1.222,34.264,229.101,0.992,7.346
2023-01-01 15:00,2023-01-01 15:00,8.764,0.115,0.0,0.0,1.223,10.592,87.491,0.981,7.109
2023-01-01 16:00,2023-01-01 16:00,8.337,0.162,0.0,0.0,1.224,0.006,0.113,0.977,7.383
2023-01-01 17:00,2023-01-01 17:00,8.224,0.209,0.0,0.0,1.226,0.0,0.0,0.979,7.464
2023-01-01 18:00,2023-01-01 18:00,7.982,0.293,0.0,0.0,1.228,0.0,0.0,0.981,7.29
2023-01-01 19:00,2023-01-01 19:00,7.582,0.122,0.0,0.0,1.23,0.0,0.0,0.974,6.823
2023-01-01 20:00,2023-01-01 20:00,7.3,0.065,0.0,0.0,1.231,0.0,0.0,0.965,6.569
2023-01-01 21:00,2023-01-01 21:00,7.085,0.067,0.0,0.0,1.232,0.0,0.0,0.95,6.519
2023-01-01 22:00,2023-01-01 22:00,6.98,0.082,0.0,0.0,1.233,0.0,0.0,0.949,6.555
2023-01-01 23:00,2023-01-01 23:00,6.851,0.141,0.0,0.0,1.234,0.0,0.0,0.96,6.556
2023-01-02 00:00,2023-01-02 00:00,6.766,0.159,0.0,0.0,1.235,0.0,0.0,0.973,6.535
2023-01-02 01:00,2023-01-02 01:00,6.694,0.11,0.0,0.0,1.236,0.0,0.0,0.961,6.461
2023-01-02 02:00,2023-01-02 02:00,6.543,0.111,0.0,0.0,1.238,0.0,0.0,0.917,6.331
2023-01-02 03:00,2023-01-02 03:00,6.169,0.076,0.0,0.0,1.241,0.0,0.0,0.748,5.995
2023-01-02 04:00,2023-01-02 04:00,5.784,0.043,0.0,0.0,1.244,0.0,0.0,0.668,5.743
2023-01-02 05:00,2023-01-02 05:00,5.363,0.026,0.0,0.0,1.247,0.0,0.0,0.684,5.655
2023-01-02 06:00,2023-01-02 06:00,5.103,0.016,0.0,0.0,1.25,0.0,0.0,0.637,5.473
2023-01-02 07:00,2023-01-02 07:00,4.27,0.006,0.0,0.0,1.253,0.0,0.0,0.381,5.239
2023-01-02 08:00,2023-01-02 08:00,3.276,0.003,0.0,0.0,1.256,14.055,40.084,0.234,4.945
2023-01-02 09:00,2023-01-02 09:00,4.275,0.002,0.0,0.0,1.258,96.678,186.14,0.159,4.492
2023-01-02 10:00,2023-01-02 10:00,5.413,0.002,0.0,0.0,1.259,186.795,299.546,0.184,3.867
2023-01-02 11:00,2023-01-02 11:00,6.361,0.003,0.0,0.0,1.256,236.985,363.196,0.378,3.876
2023-01-02 12:00,2023-01-02 12:00,6.947,0.007,0.0,0.0,1.254,237.742,372.81,0.236,4.069
2023-01-02 13:00,2023-01-02 13:00,7.121,0.008,0.0,0.0,1.253,207.333,327.739,0.073,4.307
2023-01-02 14:00,2023-01-02 14:00,6.729,0.006,0.0,0.0,1.253,138.151,230.975,0.015,4.286
2023-01-02 15:00,2023-01-02 15:00,4.852,0.006,0.0,0.0,1.253,42.073,89.272,0.019,4.24
2023-01-02 16:00,2023-01-02 16:00,3.728,0.006,0.0,0.0,1.255,0.036,0.173,0.346,4.18
2023-01-02 17:00,2023-01-02 17:00,3.217,0.006,0.0,0.0,1.257,0.0,0.0,0.745,4.36
2023-01-02 18:00,2023-01-02 18:00,2.723,0.001,0.0,0.0,1.258,0.0,0.0,0.534,4.587
2023-01-02 19:00,2023-01-02 19:00,2.127,0.001,0.0,0.0,1.26,0.0,0.0,0.067,4.882
2023-01-02 20:00,2023-01-02 20:00,1.512,0.0,0.0,0.0,1.261,0.0,0.0,0.005,5.428
2023-01-02 21:00,2023-01-02 21:00,1.185,0.001,0.0,0.0,1.261,0.0,0.0,0.003,6.067
2023-01-02 22:00,2023-01-02 22:00,1.192,0.003,0.0,0.0,1.261,0.0,0.0,0.004,6.653
2023-01-02 23:00,2023-01-02 23:00,1.468,0.003,0.0,0.0,1.259,0.0,0.0,0.004,7.154
2023-01-03 00:00,2023-01-03 00:00,1.905,0.004,0.0,0.0,1.256,0.0,0.0,0.007,7.569
2023-01-03 01:00,2023-01-03 01:00,2.513,0.005,0.0,0.0,1.254,0.0,0.0,0.099,8.059
2023-01-03 02:00,2023-01-03 02:00,3.413,0.005,0.0,0.0,1.252,0.0,0.0,0.74,8.552
2023-01-03 03:00,2023-01-03 03:00,4.726,0.146,0.0,0.0,1.251,0.0,0.0,0.986,8.757
2023-01-03 04:00,2023-01-03 04:00,6.383,0.782,0.0,0.0,1.249,0.0,0.0,0.995,8.65
2023-01-03 05:00,2023-01-03 05:00,7.056,0.887,0.0,0.0,1.247,0.0,0.0,0.996,8.981
2023-01-03 06:00,2023-01-03 06:00,7.764,0.522,0.0,0.0,1.243,0.0,0.0,0.995,10.588
2023-01-03 07:00,2023-01-03 07:00,8.653,0.343,0.0,0.0,1.239,0.0,0.0,0.995,11.749
2023-01-03 08:00,2023-01-03 08:00,9.179,0.41,0.0,0.0,1.236,1.891,41.39,0.996,11.732
2023-01-03 09:00,2023-01-03 09:00,9.515,0.328,0.0,0.0,1.234,11.651,188.14,0.997,11.025
2023-01-03 10:00,2023-01-03 10:00,9.825,0.134,0.0,0.0,1.232,32.282,301.558,0.992,10.226
2023-01-03 11:00,2023-01-03 11:00,10.232,0.056,0.0,0.0,1.23,80.796,365.321,0.973,10.282
2023-01-03 12:00,2023-01-03 12:00,10.533,0.107,0.0,0.0,1.228,86.327,374.935,0.985,10.936
2023-01-03 13:00,2023-01-03 13:00,10.386,0.583,0.0,0.0,1.228,43.281,329.756,0.989,11.405
2023-01-03 14:00,2023-01-03 14:00,10.196,1.333,0.0,0.0,1.227,16.221,233.033,0.985,11.972
2023-01-03 15:00,2023-01-03 15:00,10.336,1.362,0.0,0.0,1.225,4.293,91.214,0.992,12.547
2023-01-03 16:00,2023-01-03 16:00,10.727,1.037,0.0,0.0,1.223,0.004,0.244,0.991,12.928
2023-01-03 17:00,2023-01-03 17:00,11.079,0.782,0.0,0.0,1.221,0.0,0.0,0.988,12.509
2023-01-03 18:00,2023-01-03 18:00,11.3,0.588,0.0,0.0,1.22,0.0,0.0,0.984,11.978
2023-01-03 19:00,2023-01-03 19:00,11.457,0.273,0.0,0.0,1.219,0.0,0.0,0.986,11.987
2023-01-03 20:00,2023-01-03 20:00,11.524,0.131,0.0,0.0,1.219,0.0,0.0,0.996,11.943
2023-01-03 21:00,2023-01-03 21:00,11.554,0.1,0.0,0.0,1.219,0.0,0.0,0.995,12.134
2023-01-03 22:00,2023-01-03 22:00,11.56,0.098,0.0,0.0,1.219,0.0,0.0,0.994,12.271
2023-01-03 23:00,2023-01-03 23:00,11.586,0.181,0.0,0.0,1.219,0.0,0.0,0.994,12.37
2023-01-04 00:00,2023-01-04 00:00,11.535,0.274,0.0,0.0,1.218,0.0,0.0,0.974,12.436
2023-01-04 01:00,2023-01-04 01:00,11.464,0.296,0.0,0.0,1.219,0.0,0.0,0.989,12.287
2023-01-04 02:00,2023-01-04 02:00,11.422,0.376,0.0,0.0,1.219,0.0,0.0,0.997,12.23
2023-01-04 03:00,2023-01-04 03:00,11.427,0.35,0.0,0.0,1.219,0.0,0.0,0.996,12.224
2023-01-04 04:00,2023-01-04 04:00,11.444,0.254,0.0,0.0,1.219,0.0,0.0,0.987,11.908
2023-01-04 05:00,2023-01-04 05:00,11.428,0.206,0.0,0.0,1.22,0.0,0.0,0.981,11.388
2023-01-04 06:00,2023-01-04 06:00,11.456,0.158,0.0,0.0,1.22,0.0,0.0,0.981,11.21
2023-01-04 07:00,2023-01-04 07:00,11.559,0.135,0.0,0.0,1.22,0.0,0.0,0.992,11.535
2023-01-04 08:00,2023-01-04 08:00,11.533,0.134,0.0,0.0,1.22,4.12,42.819,0.991,11.628
2023-01-04 09:00,2023-01-04 09:00,11.523,0.125,0.0,0.0,1.221,25.28,190.265,0.992,11.508
2023-01-04 10:00,2023-01-04 10:00,11.513,0.071,0.0,0.0,1.223,50.432,303.806,0.992,11.424
2023-01-04 11:00,2023-01-04 11:00,11.478,0.063,0.0,0.0,1.224,85.867,367.571,0.95,11.486
2023-01-04 12:00,2023-01-04 12:00,11.681,0.058,0.0,0.0,1.224,180.802,377.202,0.852,11.731
