time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot,wind_speed
2016-01-01 00:00,2016-01-01 00:00,3.324,0.0,0.0,0.0,1.257,0.0,0.0,0.555,5.547
2016-01-01 01:00,2016-01-01 01:00,3.451,0.0,0.0,0.0,1.258,0.0,0.0,0.915,4.386
2016-01-01 02:00,2016-01-01 02:00,3.996,0.0,0.0,0.0,1.259,0.0,0.0,0.994,3.633
2016-01-01 03:00,2016-01-01 03:00,3.705,0.0,0.0,0.0,1.259,0.0,0.0,0.994,4.183
2016-01-01 04:00,2016-01-01 04:00,3.323,0.0,0.0,0.0,1.26,0.0,0.0,0.989,5.44
2016-01-01 05:00,2016-01-01 05:00,3.61,0.0,0.0,0.0,1.26,0.0,0.0,0.994,6.519
2016-01-01 06:00,2016-01-01 06:00,4.184,0.0,0.0,0.0,1.26,0.0,0.0,0.992,7.371
2016-01-01 07:00,2016-01-01 07:00,4.549,0.0,0.0,0.0,1.261,0.0,0.0,0.993,7.886
2016-01-01 08:00,2016-01-01 08:00,4.539,0.001,0.0,0.0,1.261,4.157,38.65,0.994,8.11
2016-01-01 09:00,2016-01-01 09:00,4.721,0.002,0.0,0.0,1.261,27.838,183.89,0.995,8.062
2016-01-01 10:00,2016-01-01 10:00,5.525,0.007,0.0,0.0,1.256,61.169,297.181,0.994,8.53
2016-01-01 11:00,2016-01-01 11:00,6.284,0.039,0.0,0.0,1.25,72.812,360.725,0.994,8.816
2016-01-01 12:00,2016-01-01 12:00,6.871,0.24,0.0,0.0,1.245,68.364,370.327,0.995,9.53
2016-01-01 13:00,2016-01-01 13:00,7.099,0.755,0.0,0.0,1.242,34.685,325.266,0.996,10.248
2016-01-01 14:00,2016-01-01 14:00,7.324,0.983,0.0,0.0,1.239,13.323,228.658,0.996,10.657
2016-01-01 15:00,2016-01-01 15:00,7.661,0.548,0.0,0.0,1.235,4.353,87.054,0.988,10.896
2016-01-01 16:00,2016-01-01 16:00,7.767,0.118,0.0,0.0,1.233,0.009,0.103,0.977,11.014
2016-01-01 17:00,2016-01-01 17:00,7.741,0.033,0.0,0.0,1.231,0.0,0.0,0.982,11.678
2016-01-01 18:00,2016-01-01 18:00,7.697,0.055,0.0,0.0,1.23,0.0,0.0,0.988,12.199
2016-01-01 19:00,2016-01-01 19:00,7.657,0.392,0.0,0.0,1.229,0.0,0.0,0.976,12.525
2016-01-01 20:00,2016-01-01 20:00,7.658,1.295,0.0,0.0,1.227,0.0,0.0,0.873,12.805
