# Renewables.ninja Weather (Point API) - 51.454, -2.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "51.4538022", "lon": "-2.5972985", "date_from": "2016-01-01", "date_to": "2016-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "true", "var_snomas": "true", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2016-01-01 00:00,2016-01-01 00:00,3.324,0,0,0,1.257,0,0,0.555
2016-01-01 01:00,2016-01-01 01:00,3.451,0,0,0,1.258,0,0,0.915
2016-01-01 02:00,2016-01-01 02:00,3.996,0,0,0,1.259,0,0,0.994
2016-01-01 03:00,2016-01-01 03:00,3.705,0,0,0,1.259,0,0,0.994
2016-01-01 04:00,2016-01-01 04:00,3.323,0,0,0,1.260,0,0,0.989
2016-01-01 05:00,2016-01-01 05:00,3.610,0,0,0,1.260,0,0,0.994
2016-01-01 06:00,2016-01-01 06:00,4.184,0,0,0,1.260,0,0,0.992
2016-01-01 07:00,2016-01-01 07:00,4.549,0,0,0,1.261,0,0,0.993
2016-01-01 08:00,2016-01-01 08:00,4.539,0.001,0,0,1.261,4.157,38.650,0.994
2016-01-01 09:00,2016-01-01 09:00,4.721,0.002,0,0,1.261,27.838,183.890,0.995
2016-01-01 10:00,2016-01-01 10:00,5.525,0.007,0,0,1.256,61.169,297.181,0.994
2016-01-01 11:00,2016-01-01 11:00,6.284,0.039,0,0,1.250,72.812,360.725,0.994
2016-01-01 12:00,2016-01-01 12:00,6.871,0.240,0,0,1.245,68.364,370.327,0.995
2016-01-01 13:00,2016-01-01 13:00,7.099,0.755,0,0,1.242,34.685,325.266,0.996
2016-01-01 14:00,2016-01-01 14:00,7.324,0.983,0,0,1.239,13.323,228.658,0.996
2016-01-01 15:00,2016-01-01 15:00,7.661,0.548,0,0,1.235,4.353,87.054,0.988
2016-01-01 16:00,2016-01-01 16:00,7.767,0.118,0,0,1.233,0.009,0.103,0.977
2016-01-01 17:00,2016-01-01 17:00,7.741,0.033,0,0,1.231,0,0,0.982
